37,Parallelcomputing37.rtf,Parallel computing,gladeleanora61@univ-douala.com
71,Computationalbiology71.txt,Computational biology,ranijanene63@bip.lon.ac.uk
20,Numericalanalysis20.doc,Numerical analysis,altarinna46@afit.af.mil
48,Compilertheory48.docx,Compiler theory,riccapatterman21@lidapoly.com
5,Programminglanguagetheory5.tex,Programming language theory,deeannmarielle73@ucla.edu
79,Computergraphics79.odt,Computer graphics,jenaaeniah85@roehampton.ac.uk
75,Mathematicallogic75.wpd,Mathematical logic,steffiephillie67@sccnc.edu
53,Numbertheory53.wpd,Number theory,zabrinareeves59@davv.ac.in
3,Operatingsystems3.doc,Operating systems,jacquelinedown20@asu.edu.et
30,Human-computerinteraction30.txt,Human-computer interaction,breedionis6@kfs.edu.eg
25,Datastructures25.odt,Data structures,aundreahilaria35@cncc.edu
73,Concurrency73.wpd,Concurrency,dominijemine14@salvador.edu.ar
76,Concurrency76.wpd,Concurrency,alleenosbert69@konstfack.se
40,Robotics40.rtf,Robotics,vernatjader28@ecla.de
49,Networking49.wks,Networking,modestinebrock12@num.edu.kh
38,Machinelearning38.txt,Machine learning,trudygarfinkel89@morainepark.edu
45,Reverseengineering45.wps,Reverse engineering,fayprocter87@ubaguio.edu
29,Numericalanalysis29.docx,Numerical analysis,stacylukasz4@stjohn.ac.th
50,Relationaldatabases50.tex,Relational databases,brynnaalitha22@at.edu.pl
63,Computervision63.rtf,Computer vision,margekleper98@harran.edu.tr
81,Computergraphics81.rtf,Computer graphics,francenenovia0@univ-nancy2.fr
92,Datastructures92.wks,Data structures,chiarrajanuisz47@smu.edu.ph
8,Computationalchemistry8.wks,Computational chemistry,idelltuppeny17@sgu.edu
94,Operatingsystems94.wps,Operating systems,cindaholbrooke18@fsriau.ac.ir
55,Algorithms55.doc,Algorithms,inessaalbertson45@usuhs.mil
85,Automatedreasoning85.rtf,Automated reasoning,stacylukasz4@stjohn.ac.th
